insider_name,relation,transaction_date,transaction_code,shares,price,shares_after,ownership_form,form4_url
HUANG JEN HSUN,,2025-09-09,S,15516,167.479,72382850,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000031/wk-form4_1757630649.xml
HUANG JEN HSUN,,2025-09-09,S,38757,168.3267,72344093,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000031/wk-form4_1757630649.xml
HUANG JEN HSUN,,2025-09-09,S,11547,169.1468,72332546,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000031/wk-form4_1757630649.xml
HUANG JEN HSUN,,2025-09-09,S,8519,170.2982,72324027,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000031/wk-form4_1757630649.xml
HUANG JEN HSUN,,2025-09-09,S,661,170.9278,72323366,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000031/wk-form4_1757630649.xml
HUANG JEN HSUN,,2025-09-10,S,10739,176.3138,72312627,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000031/wk-form4_1757630649.xml
HUANG JEN HSUN,,2025-09-10,S,27517,177.2683,72285110,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000031/wk-form4_1757630649.xml
HUANG JEN HSUN,,2025-09-10,S,29952,178.0036,72255158,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000031/wk-form4_1757630649.xml
HUANG JEN HSUN,,2025-09-10,S,6792,178.8976,72248366,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000031/wk-form4_1757630649.xml
HUANG JEN HSUN,,2025-09-11,S,32834,177.2235,72215532,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000031/wk-form4_1757630649.xml
HUANG JEN HSUN,,2025-09-11,S,37975,177.8881,72177557,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000031/wk-form4_1757630649.xml
HUANG JEN HSUN,,2025-09-11,S,1919,179.1302,72175638,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000031/wk-form4_1757630649.xml
HUANG JEN HSUN,,2025-09-11,S,2272,179.7707,72173366,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000031/wk-form4_1757630649.xml
COXE TENCH,,2025-09-08,G,1000000,0,25671360,I,https://www.sec.gov/Archives/edgar/data/1045810/000141588925024119/form4-09102025_090948.xml
HUANG JEN HSUN,,2025-09-04,S,22848,170.2439,72600518,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000029/wk-form4_1757374259.xml
HUANG JEN HSUN,,2025-09-04,S,49673,170.8315,72550845,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000029/wk-form4_1757374259.xml
HUANG JEN HSUN,,2025-09-04,S,2479,171.6465,72548366,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000029/wk-form4_1757374259.xml
HUANG JEN HSUN,,2025-09-05,S,7088,164.801,72541278,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000029/wk-form4_1757374259.xml
HUANG JEN HSUN,,2025-09-05,S,13692,165.6337,72527586,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000029/wk-form4_1757374259.xml
HUANG JEN HSUN,,2025-09-05,S,42767,166.6611,72484819,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000029/wk-form4_1757374259.xml
HUANG JEN HSUN,,2025-09-05,S,8624,167.5726,72476195,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000029/wk-form4_1757374259.xml
HUANG JEN HSUN,,2025-09-05,S,2829,168.4531,72473366,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000029/wk-form4_1757374259.xml
HUANG JEN HSUN,,2025-09-08,S,5006,168.2422,72468360,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000029/wk-form4_1757374259.xml
HUANG JEN HSUN,,2025-09-08,S,15794,169.2876,72452566,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000029/wk-form4_1757374259.xml
HUANG JEN HSUN,,2025-09-08,S,52820,169.9468,72399746,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000029/wk-form4_1757374259.xml
HUANG JEN HSUN,,2025-09-08,S,1380,170.7167,72398366,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000029/wk-form4_1757374259.xml
HUDSON DAWN E,,2025-09-02,S,72000,170.6259,386887,D,https://www.sec.gov/Archives/edgar/data/1045810/000121988825000005/wk-form4_1757019606.xml
HUDSON DAWN E,,2025-09-03,S,18000,172,368887,D,https://www.sec.gov/Archives/edgar/data/1045810/000121988825000005/wk-form4_1757019606.xml
Shoquist Debora,,2025-08-29,G,55172,0,1734443,I,https://www.sec.gov/Archives/edgar/data/1045810/000128385425000004/wk-form4_1756946639.xml
SEAWELL A BROOKE,,2025-08-29,G,1200000,0,532728,I,https://www.sec.gov/Archives/edgar/data/1045810/000119765225000005/wk-form4_1756946443.xml
Neal Stephen C,,2025-08-29,G,1700,0,171410,I,https://www.sec.gov/Archives/edgar/data/1045810/000176867025000005/wk-form4_1756946210.xml
HUANG JEN HSUN,,2025-08-29,S,32488,173.8729,72815878,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000027/wk-form4_1756945908.xml
HUANG JEN HSUN,,2025-08-29,S,34773,174.5759,72781105,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000027/wk-form4_1756945908.xml
HUANG JEN HSUN,,2025-08-29,S,2860,175.436,72778245,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000027/wk-form4_1756945908.xml
HUANG JEN HSUN,,2025-08-29,S,3509,176.7084,72774736,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000027/wk-form4_1756945908.xml
HUANG JEN HSUN,,2025-08-29,S,1370,177.6669,72773366,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000027/wk-form4_1756945908.xml
HUANG JEN HSUN,,2025-09-02,S,9391,167.8642,72763975,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000027/wk-form4_1756945908.xml
HUANG JEN HSUN,,2025-09-02,S,23316,168.9946,72740659,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000027/wk-form4_1756945908.xml
HUANG JEN HSUN,,2025-09-02,S,19876,169.8152,72720783,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000027/wk-form4_1756945908.xml
HUANG JEN HSUN,,2025-09-02,S,17540,170.6894,72703243,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000027/wk-form4_1756945908.xml
HUANG JEN HSUN,,2025-09-02,S,4877,171.7427,72698366,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000027/wk-form4_1756945908.xml
HUANG JEN HSUN,,2025-09-03,S,16955,169.4812,72681411,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000027/wk-form4_1756945908.xml
HUANG JEN HSUN,,2025-09-03,S,21785,170.4358,72659626,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000027/wk-form4_1756945908.xml
HUANG JEN HSUN,,2025-09-03,S,32641,171.3282,72626985,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000027/wk-form4_1756945908.xml
HUANG JEN HSUN,,2025-09-03,S,3619,172.1181,72623366,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000027/wk-form4_1756945908.xml
HUANG JEN HSUN,,2025-08-14,S,2311,180.127,72995914,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000025/wk-form4_1755550763.xml
HUANG JEN HSUN,,2025-08-14,S,14673,181.1977,72981241,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000025/wk-form4_1755550763.xml
HUANG JEN HSUN,,2025-08-14,S,53466,181.9834,72927775,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000025/wk-form4_1755550763.xml
HUANG JEN HSUN,,2025-08-14,S,4550,182.7131,72923225,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000025/wk-form4_1755550763.xml
HUANG JEN HSUN,,2025-08-15,S,11883,178.9205,72911342,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000025/wk-form4_1755550763.xml
HUANG JEN HSUN,,2025-08-15,S,45688,179.6893,72865654,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000025/wk-form4_1755550763.xml
HUANG JEN HSUN,,2025-08-15,S,15479,180.433,72850175,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000025/wk-form4_1755550763.xml
HUANG JEN HSUN,,2025-08-15,S,1950,181.3374,72848225,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000025/wk-form4_1755550763.xml
HUANG JEN HSUN,,2025-08-11,S,3995,180.9738,73219230,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000023/wk-form4_1755127980.xml
HUANG JEN HSUN,,2025-08-11,S,12903,181.9676,73206327,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000023/wk-form4_1755127980.xml
HUANG JEN HSUN,,2025-08-11,S,46436,182.9039,73159891,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000023/wk-form4_1755127980.xml
HUANG JEN HSUN,,2025-08-11,S,11666,183.5221,73148225,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000023/wk-form4_1755127980.xml
HUANG JEN HSUN,,2025-08-12,S,3952,180.0479,73144273,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000023/wk-form4_1755127980.xml
HUANG JEN HSUN,,2025-08-12,S,16093,181.0148,73128180,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000023/wk-form4_1755127980.xml
HUANG JEN HSUN,,2025-08-12,S,29095,182.0983,73099085,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000023/wk-form4_1755127980.xml
HUANG JEN HSUN,,2025-08-12,S,25860,182.8204,73073225,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000023/wk-form4_1755127980.xml
HUANG JEN HSUN,,2025-08-13,S,14148,180.026,73059077,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000023/wk-form4_1755127980.xml
HUANG JEN HSUN,,2025-08-13,S,26758,180.9741,73032319,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000023/wk-form4_1755127980.xml
HUANG JEN HSUN,,2025-08-13,S,20553,181.6989,73011766,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000023/wk-form4_1755127980.xml
HUANG JEN HSUN,,2025-08-13,S,9958,182.9541,73001808,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000023/wk-form4_1755127980.xml
HUANG JEN HSUN,,2025-08-13,S,3583,183.6417,72998225,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000023/wk-form4_1755127980.xml
HUANG JEN HSUN,,2025-08-06,S,4809,176.8756,73443416,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000021/wk-form4_1754689862.xml
HUANG JEN HSUN,,2025-08-06,S,28725,177.8317,73414691,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000021/wk-form4_1754689862.xml
HUANG JEN HSUN,,2025-08-06,S,29382,178.7851,73385309,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000021/wk-form4_1754689862.xml
HUANG JEN HSUN,,2025-08-06,S,12084,179.5238,73373225,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000021/wk-form4_1754689862.xml
HUANG JEN HSUN,,2025-08-07,S,13294,179.4829,73359931,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000021/wk-form4_1754689862.xml
HUANG JEN HSUN,,2025-08-07,S,17356,180.2574,73342575,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000021/wk-form4_1754689862.xml
HUANG JEN HSUN,,2025-08-07,S,13894,181.4106,73328681,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000021/wk-form4_1754689862.xml
HUANG JEN HSUN,,2025-08-07,S,18770,182.3339,73309911,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000021/wk-form4_1754689862.xml
HUANG JEN HSUN,,2025-08-07,S,11686,183.14,73298225,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000021/wk-form4_1754689862.xml
HUANG JEN HSUN,,2025-08-08,S,4683,180.9766,73293542,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000021/wk-form4_1754689862.xml
HUANG JEN HSUN,,2025-08-08,S,29416,182.1003,73264126,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000021/wk-form4_1754689862.xml
HUANG JEN HSUN,,2025-08-08,S,40901,182.7448,73223225,D,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000021/wk-form4_1754689862.xml
Kress Colette,,2025-08-04,S,1235,175.0895,2983281,D,https://www.sec.gov/Archives/edgar/data/1045810/000158867025000006/wk-form4_1754522367.xml
Kress Colette,,2025-08-04,S,2076,176.2875,2981205,D,https://www.sec.gov/Archives/edgar/data/1045810/000158867025000006/wk-form4_1754522367.xml
Kress Colette,,2025-08-04,S,6871,177.1508,2974334,D,https://www.sec.gov/Archives/edgar/data/1045810/000158867025000006/wk-form4_1754522367.xml
Kress Colette,,2025-08-04,S,5328,177.9366,2969006,D,https://www.sec.gov/Archives/edgar/data/1045810/000158867025000006/wk-form4_1754522367.xml
Kress Colette,,2025-08-04,S,10857,179.1525,2958149,D,https://www.sec.gov/Archives/edgar/data/1045810/000158867025000006/wk-form4_1754522367.xml
Kress Colette,,2025-08-04,S,1273,179.8424,2956876,D,https://www.sec.gov/Archives/edgar/data/1045810/000158867025000006/wk-form4_1754522367.xml
Kress Colette,,2025-08-04,S,441,175.0899,162619,I,https://www.sec.gov/Archives/edgar/data/1045810/000158867025000006/wk-form4_1754522367.xml
Kress Colette,,2025-08-04,S,738,176.288,161881,I,https://www.sec.gov/Archives/edgar/data/1045810/000158867025000006/wk-form4_1754522367.xml
