accessNumber,symbol,cik,form,filedDate,acceptedDate,reportUrl,filingUrl
0001197649-25-000031,NVDA,1045810,4,2025-09-11 00:00:00,2025-09-11 18:44:13,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000031/wk-form4_1757630649.xml,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000031/0001197649-25-000031-index.html
0001415889-25-024119,NVDA,1045810,4,2025-09-10 00:00:00,2025-09-10 17:42:52,https://www.sec.gov/Archives/edgar/data/1045810/000141588925024119/form4-09102025_090948.xml,https://www.sec.gov/Archives/edgar/data/1045810/000141588925024119/0001415889-25-024119-index.html
0001197649-25-000029,NVDA,1045810,4,2025-09-08 00:00:00,2025-09-08 19:31:02,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000029/wk-form4_1757374259.xml,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000029/0001197649-25-000029-index.html
0001219888-25-000005,NVDA,1045810,4,2025-09-04 00:00:00,2025-09-04 17:00:16,https://www.sec.gov/Archives/edgar/data/1045810/000121988825000005/wk-form4_1757019606.xml,https://www.sec.gov/Archives/edgar/data/1045810/000121988825000005/0001219888-25-000005-index.html
0001283854-25-000004,NVDA,1045810,4,2025-09-03 00:00:00,2025-09-03 20:44:02,https://www.sec.gov/Archives/edgar/data/1045810/000128385425000004/wk-form4_1756946639.xml,https://www.sec.gov/Archives/edgar/data/1045810/000128385425000004/0001283854-25-000004-index.html
0001197652-25-000005,NVDA,1045810,4,2025-09-03 00:00:00,2025-09-03 20:40:46,https://www.sec.gov/Archives/edgar/data/1045810/000119765225000005/wk-form4_1756946443.xml,https://www.sec.gov/Archives/edgar/data/1045810/000119765225000005/0001197652-25-000005-index.html
0001768670-25-000005,NVDA,1045810,4,2025-09-03 00:00:00,2025-09-03 20:36:53,https://www.sec.gov/Archives/edgar/data/1045810/000176867025000005/wk-form4_1756946210.xml,https://www.sec.gov/Archives/edgar/data/1045810/000176867025000005/0001768670-25-000005-index.html
0001197649-25-000027,NVDA,1045810,4,2025-09-03 00:00:00,2025-09-03 20:31:52,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000027/wk-form4_1756945908.xml,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000027/0001197649-25-000027-index.html
0001197649-25-000025,NVDA,1045810,4,2025-08-18 00:00:00,2025-08-18 16:59:27,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000025/wk-form4_1755550763.xml,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000025/0001197649-25-000025-index.html
0001197649-25-000023,NVDA,1045810,4,2025-08-13 00:00:00,2025-08-13 19:33:05,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000023/wk-form4_1755127980.xml,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000023/0001197649-25-000023-index.html
0001197649-25-000021,NVDA,1045810,4,2025-08-08 00:00:00,2025-08-08 17:51:05,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000021/wk-form4_1754689862.xml,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000021/0001197649-25-000021-index.html
0001588670-25-000006,NVDA,1045810,4,2025-08-06 00:00:00,2025-08-06 19:19:31,https://www.sec.gov/Archives/edgar/data/1045810/000158867025000006/wk-form4_1754522367.xml,https://www.sec.gov/Archives/edgar/data/1045810/000158867025000006/0001588670-25-000006-index.html
0001197649-25-000019,NVDA,1045810,4,2025-08-05 00:00:00,2025-08-05 19:30:52,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000019/wk-form4_1754436649.xml,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000019/0001197649-25-000019-index.html
0001197649-25-000017,NVDA,1045810,4,2025-07-31 00:00:00,2025-07-31 19:37:43,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000017/wk-form4_1754005059.xml,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000017/0001197649-25-000017-index.html
0001197649-25-000014,NVDA,1045810,4,2025-07-28 00:00:00,2025-07-28 18:56:40,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000014/wk-form4_1753743396.xml,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000014/0001197649-25-000014-index.html
0001197649-25-000012,NVDA,1045810,4,2025-07-23 00:00:00,2025-07-23 18:46:29,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000012/wk-form4_1753310780.xml,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000012/0001197649-25-000012-index.html
0001197649-25-000010,NVDA,1045810,4,2025-07-18 00:00:00,2025-07-18 19:20:07,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000010/wk-form4_1752880799.xml,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000010/0001197649-25-000010-index.html
0001588670-25-000003,NVDA,1045810,4,2025-07-17 00:00:00,2025-07-17 20:46:11,https://www.sec.gov/Archives/edgar/data/1045810/000158867025000003/wk-form4_1752799565.xml,https://www.sec.gov/Archives/edgar/data/1045810/000158867025000003/0001588670-25-000003-index.html
0001045810-25-000190,NVDA,1045810,4,2025-07-15 00:00:00,2025-07-15 18:04:31,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000190/wk-form4_1752617063.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000190/0001045810-25-000190-index.html
0001197649-25-000008,NVDA,1045810,4,2025-07-15 00:00:00,2025-07-15 18:00:17,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000008/wk-form4_1752616809.xml,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000008/0001197649-25-000008-index.html
0001197649-25-000006,NVDA,1045810,4,2025-07-10 00:00:00,2025-07-10 19:30:00,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000006/wk-form4_1752190192.xml,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000006/0001197649-25-000006-index.html
0001045810-25-000188,NVDA,1045810,4,2025-07-10 00:00:00,2025-07-10 19:26:38,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000188/wk-form4_1752189991.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000188/0001045810-25-000188-index.html
0001197649-25-000004,NVDA,1045810,4,2025-07-07 00:00:00,2025-07-07 20:33:46,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000004/wk-form4_1751934819.xml,https://www.sec.gov/Archives/edgar/data/1045810/000119764925000004/0001197649-25-000004-index.html
0001045810-25-000186,NVDA,1045810,4,2025-07-07 00:00:00,2025-07-07 20:29:56,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000186/wk-form4_1751934586.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000186/0001045810-25-000186-index.html
0001045810-25-000183,NVDA,1045810,4,2025-07-01 00:00:00,2025-07-01 19:40:37,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000183/wk-form4_1751413230.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000183/0001045810-25-000183-index.html
0001045810-25-000182,NVDA,1045810,4,2025-07-01 00:00:00,2025-07-01 19:35:22,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000182/wk-form4_1751412913.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000182/0001045810-25-000182-index.html
0001225208-25-006216,NVDA,1045810,4,2025-06-30 00:00:00,2025-06-30 17:18:58,https://www.sec.gov/Archives/edgar/data/1045810/000122520825006216/doc4.xml,https://www.sec.gov/Archives/edgar/data/1045810/000122520825006216/0001225208-25-006216-index.html
0001045810-25-000178,NVDA,1045810,4,2025-06-30 00:00:00,2025-06-30 17:09:14,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000178/wk-form4_1751317746.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000178/0001045810-25-000178-index.html
0001045810-25-000177,NVDA,1045810,4,2025-06-30 00:00:00,2025-06-30 17:06:35,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000177/wk-form4_1751317588.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000177/0001045810-25-000177-index.html
0001045810-25-000176,NVDA,1045810,4,2025-06-30 00:00:00,2025-06-30 17:04:42,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000176/wk-form4_1751317475.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000176/0001045810-25-000176-index.html
0001045810-25-000175,NVDA,1045810,4,2025-06-30 00:00:00,2025-06-30 17:02:48,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000175/wk-form4_1751317362.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000175/0001045810-25-000175-index.html
0001045810-25-000174,NVDA,1045810,4,2025-06-30 00:00:00,2025-06-30 17:00:42,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000174/wk-form4_1751317235.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000174/0001045810-25-000174-index.html
0001045810-25-000173,NVDA,1045810,4,2025-06-30 00:00:00,2025-06-30 16:58:27,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000173/wk-form4_1751317101.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000173/0001045810-25-000173-index.html
0001045810-25-000172,NVDA,1045810,4,2025-06-30 00:00:00,2025-06-30 16:56:24,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000172/wk-form4_1751316977.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000172/0001045810-25-000172-index.html
0001045810-25-000171,NVDA,1045810,4,2025-06-30 00:00:00,2025-06-30 16:54:11,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000171/wk-form4_1751316844.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000171/0001045810-25-000171-index.html
