accessNumber,symbol,cik,form,filedDate,acceptedDate,reportUrl,filingUrl
0001973727-25-000027,NVDA,1045810,144,2025-09-12 00:00:00,2025-09-12 17:33:20,https://www.sec.gov/Archives/edgar/data/1045810/000197372725000027/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000197372725000027/0001973727-25-000027-index.html
0001921094-25-001140,NVDA,1045810,144,2025-09-12 00:00:00,2025-09-12 16:36:12,https://www.sec.gov/Archives/edgar/data/1045810/000192109425001140/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425001140/0001921094-25-001140-index.html
0001921094-25-001137,NVDA,1045810,144,2025-09-11 00:00:00,2025-09-11 17:07:14,https://www.sec.gov/Archives/edgar/data/1045810/000192109425001137/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425001137/0001921094-25-001137-index.html
0001961863-25-000162,NVDA,1045810,144,2025-09-11 00:00:00,2025-09-11 16:41:36,https://www.sec.gov/Archives/edgar/data/1045810/000196186325000162/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000196186325000162/0001961863-25-000162-index.html
0001921094-25-001129,NVDA,1045810,144,2025-09-10 00:00:00,2025-09-10 16:25:08,https://www.sec.gov/Archives/edgar/data/1045810/000192109425001129/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425001129/0001921094-25-001129-index.html
0001921094-25-001123,NVDA,1045810,144,2025-09-09 00:00:00,2025-09-09 16:20:47,https://www.sec.gov/Archives/edgar/data/1045810/000192109425001123/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425001123/0001921094-25-001123-index.html
0001921094-25-001120,NVDA,1045810,144,2025-09-08 00:00:00,2025-09-08 16:45:59,https://www.sec.gov/Archives/edgar/data/1045810/000192109425001120/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425001120/0001921094-25-001120-index.html
0001921094-25-001104,NVDA,1045810,144,2025-09-05 00:00:00,2025-09-05 16:40:33,https://www.sec.gov/Archives/edgar/data/1045810/000192109425001104/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425001104/0001921094-25-001104-index.html
0001921094-25-001089,NVDA,1045810,144,2025-09-04 00:00:00,2025-09-04 16:56:44,https://www.sec.gov/Archives/edgar/data/1045810/000192109425001089/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425001089/0001921094-25-001089-index.html
0001921094-25-001078,NVDA,1045810,144,2025-09-03 00:00:00,2025-09-03 16:30:40,https://www.sec.gov/Archives/edgar/data/1045810/000192109425001078/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425001078/0001921094-25-001078-index.html
