symbol,date,time,eps,epsEstimated,revenue,revenueEstimated
BABA,2025-08-29,,,2.13,,35336959962.0
NIO,2025-09-02,,,-0.3,,19736733120.0
DOCU,2025-09-04,,,0.84,,780354500.0
ADBE,2025-09-11,,,5.17,,5906574730.0
FDX,2025-09-18,,,3.71,,21736063140.0
COST,2025-09-25,,,5.8,,
CCL,2025-09-29,,,1.31,,
NKE,2025-10-07,,,0.27,,
DAL,2025-10-09,,,1.48,,15792166670.0
PEP,2025-10-09,,,2.27,,23914127830.0
TLRY,2025-10-09,,,-0.03,,205751000.0
C,2025-10-14,,,1.86,,20839701070.0
GS,2025-10-14,,,10.27,,13680617990.0
JPM,2025-10-14,,,4.69,,44370113310.0
WFC,2025-10-14,,,1.53,,21112948790.0
BAC,2025-10-15,,,0.94,,27203015210.0
NFLX,2025-10-16,,,6.88,,11520363910.0
TSM,2025-10-16,,,2.56,,945683994250.0
JNJ,2025-10-21,,,2.78,,
UAL,2025-10-21,,,2.65,,
UNH,2025-10-21,,,2.87,,
WBA,2025-10-21,,,0.25,,
BA,2025-10-22,,,-0.5,,21521610100.0
KO,2025-10-22,,,0.79,,12511008130.0
T,2025-10-22,,,0.54,,30848088080.0
TSLA,2025-10-22,,,0.46,,24887203790.0
AAL,2025-10-23,,,-0.26,,13625304700.0
CARR,2025-10-23,,,0.8,,
NOK,2025-10-23,,,0.06,,4667755840.0
HCA,2025-10-24,,,5.64,,18547432650.0
F,2025-10-27,,,0.38,,42919191250.0
GE,2025-10-28,,,1.45,,
GM,2025-10-28,,,2.29,,
LMT,2025-10-28,,,6.36,,
VZ,2025-10-28,,,1.2,,
ABBV,2025-10-29,,,3.27,,
COIN,2025-10-29,,,1.04,,
ETSY,2025-10-29,,,0.58,,655830770.0
HOOD,2025-10-29,,,0.38,,1088668870.0
META,2025-10-29,,,6.74,,49272931220.0
MGM,2025-10-29,,,0.42,,4247530930.0
MSFT,2025-10-29,,,3.65,,75462353470.0
RIOT,2025-10-29,,,-0.19,,170124750.0
ROKU,2025-10-29,,,0.07,,1205531410.0
SBUX,2025-10-29,,,0.59,,9447090890.0
AAPL,2025-10-30,,,1.74,,101505054360.0
AMZN,2025-10-30,,,1.57,,177363701120.0
INTC,2025-10-30,,,,,
RBLX,2025-10-30,,,-0.44,,1637803750.0
SIRI,2025-10-30,,,0.78,,2142359310.0
UBER,2025-10-30,,,0.67,,13221556070.0
PLTR,2025-11-03,,,0.17,,1091849830.0
AMD,2025-11-04,,,1.17,,8724991110.0
GOOGL,2025-11-04,,,2.33,,
PFE,2025-11-04,,,0.79,,17102591799.0
PYPL,2025-11-04,,,1.21,,
SNAP,2025-11-04,,,0.06,,
SOFI,2025-11-04,,,0.08,,
V,2025-11-04,,,2.96,,
CPRX,2025-11-05,,,0.52,,136772470.0
ET,2025-11-05,,,0.33,,22782650360.0
LCID,2025-11-06,,,-0.25,,397644500.0
MRNA,2025-11-06,,,-1.94,,
PINS,2025-11-06,,,0.43,,1047732530.0
RIVN,2025-11-06,,,-0.73,,1496877380.0
CVX,2025-11-07,,,2.1,,
FUBO,2025-11-07,,,-0.04,,
XOM,2025-11-07,,,1.71,,
RKT,2025-11-11,,,0.09,,
SHOP,2025-11-11,,,0.34,,
CSCO,2025-11-12,,,0.98,,14760270620.0
BABA,2025-11-13,,,,,
BILI,2025-11-13,,,0.21,,1062400507.13592
DIS,2025-11-13,,,1.04,,
SONY,2025-11-14,,,0.32,,
WMT,2025-11-18,,,0.6,,175712927950.0
NVDA,2025-11-19,,,1.17,,53427822150.0
TGT,2025-11-19,,,1.79,,25470600660.0
BIDU,2025-11-20,,,1.67,,31098063460.0
ZM,2025-11-24,,,1.38,,
